iter	Logloss
0	0.6791278717
1	0.6647067077
2	0.650789713
3	0.6380782889
4	0.6247221862
5	0.6120132645
6	0.5998185742
7	0.5877397972
8	0.5764946258
9	0.5653961185
10	0.5547727503
11	0.5444106706
12	0.5332976782
13	0.5232383368
14	0.5124032294
15	0.5024805964
16	0.4934687486
17	0.4844086517
18	0.4760872025
19	0.4678535942
20	0.460063069
21	0.45163729
22	0.4440913508
23	0.4369109269
24	0.4298166883
25	0.422553772
26	0.4161721936
27	0.4092880013
28	0.4030286187
29	0.3967825262
30	0.3905569568
31	0.3844202106
32	0.3786735557
33	0.3729170534
34	0.3675648858
35	0.3622144181
36	0.3573871836
37	0.3521829372
38	0.3472487721
39	0.3427218923
40	0.338150616
41	0.3340719563
42	0.329737847
43	0.3256455965
44	0.3211767145
45	0.3167282003
46	0.3127620278
47	0.3091185686
48	0.3051354046
49	0.301854582
50	0.2984536335
51	0.2951920512
52	0.2913326339
53	0.2881359951
54	0.2846122736
55	0.2819635196
56	0.2789969771
57	0.2761303979
58	0.2731630959
59	0.2706370542
60	0.2679033432
61	0.2650595678
62	0.2626327979
63	0.2598975868
64	0.2577252934
65	0.2554215939
66	0.2534211311
67	0.2514044354
68	0.2494225275
69	0.2473581654
70	0.2454207377
71	0.2434354518
72	0.241626191
73	0.2398648731
74	0.2381848498
75	0.2362528891
76	0.2345908306
77	0.2325808516
78	0.2309608062
79	0.229580618
80	0.2278987982
81	0.2263012623
82	0.2247801618
83	0.2234890914
84	0.22206044
85	0.2208939828
86	0.2197396322
87	0.2184227792
88	0.2171310807
89	0.2157139532
90	0.2142300573
91	0.2131165239
92	0.2118785615
93	0.2104718275
94	0.2092253284
95	0.2079500276
96	0.2069060781
97	0.2060878976
98	0.2050786284
99	0.2041042511
100	0.2031051429
101	0.2021275842
102	0.2010998378
103	0.2001906909
104	0.1995254481
105	0.1986170092
106	0.1979105506
107	0.1970889253
108	0.196306772
109	0.1955212746
110	0.1946685034
111	0.1939629751
112	0.1931643748
113	0.1924819561
114	0.1917496914
115	0.1909882735
116	0.1903158173
117	0.1896660521
118	0.1889503067
119	0.1882761396
120	0.1875697462
121	0.1870040533
122	0.1862826698
123	0.1856973089
124	0.1851347269
125	0.184466384
126	0.1839120545
127	0.1833470522
128	0.1827622839
129	0.1822329611
130	0.1817393206
131	0.1811519936
132	0.1805672084
133	0.1800953834
134	0.1796104756
135	0.1791322185
136	0.1786191305
137	0.1782960518
138	0.1779047089
139	0.1775428664
140	0.1770684082
141	0.1767004699
142	0.1763619559
143	0.1758045614
144	0.1754136269
145	0.175154923
146	0.1747763738
147	0.1744108624
148	0.1739930433
149	0.173663289
150	0.1732269797
151	0.172798616
152	0.1725156332
153	0.1721912284
154	0.1719355949
155	0.171523651
156	0.1711207259
157	0.170703928
158	0.1704067686
159	0.1700924437
160	0.1697818365
161	0.1694443378
162	0.1691626707
163	0.1688207402
164	0.1685526946
165	0.1682466762
166	0.1679755263
167	0.1676512675
168	0.1673940707
169	0.1671269846
170	0.1668786479
171	0.1667394183
172	0.1664877725
173	0.1662772717
174	0.1660697189
175	0.165908997
176	0.1656788062
177	0.1654933999
178	0.1652695085
179	0.1650777966
180	0.164903671
181	0.1647306831
182	0.1646098392
183	0.1643950934
184	0.1641722579
185	0.1639500772
186	0.1636967729
187	0.1635447697
188	0.1634038815
189	0.1631607498
190	0.1630209867
191	0.1627604264
192	0.1626131923
193	0.1625034419
194	0.1623267596
195	0.1621007566
196	0.1619840649
197	0.1617979215
198	0.1616899356
199	0.1614874046
200	0.1612951592
201	0.1611627495
202	0.1610448072
203	0.160926923
204	0.1608468533
205	0.1607135209
206	0.1605835494
207	0.1604866362
208	0.1602920163
209	0.1601733571
210	0.1600581095
211	0.1599256382
212	0.1597831
213	0.1596176288
214	0.15945534
215	0.1593069486
216	0.1591318368
217	0.1589902608
218	0.1588928526
219	0.1587480448
220	0.1585592069
221	0.1584770534
222	0.1583996604
223	0.1582784644
224	0.1581824834
225	0.1580357329
226	0.1579293905
227	0.157833218
228	0.1577109924
229	0.1575556167
230	0.1574770403
231	0.1573526823
232	0.1572558943
233	0.1571768827
234	0.1570764853
235	0.1569750213
236	0.1569112413
237	0.1568132627
238	0.1566883827
239	0.1565795512
240	0.1564728803
241	0.1564141636
242	0.1563528593
243	0.1562588014
244	0.1561805345
245	0.1561311176
246	0.1560798352
247	0.1559979777
248	0.1559093186
249	0.1558509466
250	0.1558000869
251	0.1557384493
252	0.1556578722
253	0.1555964099
254	0.1555153642
255	0.155423728
256	0.1553509685
257	0.1552654484
258	0.1552045426
259	0.155123001
260	0.1550277295
261	0.1549476972
262	0.1548970604
263	0.1548062937
264	0.1547027116
265	0.1546213748
266	0.1545663386
267	0.1545139756
268	0.1544534533
269	0.1543453908
270	0.1542659391
271	0.1542182611
272	0.1541298768
273	0.1540751137
274	0.1540103336
275	0.1539254607
276	0.1538429268
277	0.1537852938
278	0.1537237476
279	0.1536740448
280	0.1536129273
281	0.1535521253
282	0.1534978139
283	0.1534349857
284	0.1533757163
285	0.1533029975
286	0.1532418171
287	0.1531782472
288	0.1531138805
289	0.153052084
290	0.1530182568
291	0.1529414612
292	0.1528650447
293	0.1527971248
294	0.152753921
295	0.152714292
296	0.1526750333
297	0.1526260405
298	0.15259494
299	0.1525232677
300	0.1524524797
301	0.1523987246
302	0.1523555753
303	0.1523000732
304	0.1522289727
305	0.15215536
306	0.1520977859
307	0.1520511171
308	0.1520005769
309	0.151964674
310	0.1519342506
311	0.1519073928
312	0.1518733827
313	0.1518206313
314	0.1517539725
315	0.1517126848
316	0.1516715769
317	0.1515973894
318	0.151543076
319	0.1514827296
320	0.1514593912
321	0.1513763225
322	0.1513176288
323	0.1512763377
324	0.1512678284
325	0.1512489486
326	0.1512222576
327	0.1511964434
328	0.1511446355
329	0.1510766039
330	0.1509680646
331	0.1509274079
332	0.1508683573
333	0.150805904
334	0.1507681066
335	0.1507223872
336	0.1506894325
337	0.1506435483
338	0.1506036124
339	0.1505625422
340	0.1505109102
341	0.1505060242
342	0.1504501958
343	0.1504114287
344	0.1503891074
345	0.1503545131
346	0.1503156481
347	0.15026002
348	0.1502369092
349	0.1502129274
350	0.1501596779
351	0.1501318098
352	0.1501030255
353	0.150045658
354	0.150010802
355	0.1499959457
356	0.1499743262
357	0.1499426474
358	0.1499130433
359	0.1498611315
360	0.1498017566
361	0.1497636812
362	0.149742907
363	0.1497094399
364	0.1496769832
365	0.1496707672
366	0.1496576113
367	0.1496034335
368	0.1495891065
369	0.1495599252
370	0.1495291671
371	0.1494912263
372	0.1494452451
373	0.1494098311
374	0.1493650685
375	0.1493604442
376	0.1493422896
377	0.1492960924
378	0.1492548067
379	0.1492294783
380	0.1492255335
381	0.1491609522
382	0.149121823
383	0.1490773165
384	0.1490700958
385	0.1490292147
386	0.1490156289
387	0.1490124971
388	0.1489970763
389	0.148954012
390	0.1489127265
391	0.14884128
392	0.1488189801
393	0.1487920708
394	0.1487517988
395	0.1487417628
396	0.1487107374
397	0.1486755297
398	0.1486383188
399	0.1486232606
400	0.1486185587
401	0.1485867026
402	0.1485645763
403	0.1485294411
404	0.1485014424
405	0.1484806233
406	0.1484621077
407	0.1484044153
408	0.1483746159
409	0.1483438128
410	0.1483383895
411	0.1483227675
412	0.1482898775
413	0.1482528953
414	0.1482370413
415	0.1482117826
416	0.1481893016
417	0.14815726
418	0.1481310426
419	0.1481146739
420	0.1480971924
421	0.1480863228
422	0.1480633685
423	0.1480291232
424	0.1480247939
425	0.148000079
426	0.1479856654
427	0.1479561857
428	0.1479313038
429	0.1479174812
430	0.1479127883
431	0.1478926088
432	0.1478667799
433	0.1478562795
434	0.1478353115
435	0.1478102839
436	0.1477923722
437	0.1477746014
438	0.1477540757
439	0.1477417881
440	0.1477215876
441	0.1476698859
442	0.147653395
443	0.1476297099
444	0.1475794793
445	0.1475480234
446	0.1475253
447	0.1475241389
448	0.147514156
449	0.1474665561
450	0.1474342042
451	0.1474125484
452	0.1473980918
453	0.147385853
454	0.147380634
455	0.1473341574
456	0.1472892494
457	0.1472477307
458	0.1472195385
459	0.1471891516
460	0.1471574918
461	0.1471134374
462	0.1470688436
463	0.1470655571
464	0.1470495556
465	0.1470342782
466	0.1469919237
467	0.1469841959
468	0.1469457257
469	0.1469434351
470	0.1469141335
471	0.1468931432
472	0.1468617864
473	0.1468482115
474	0.1468221604
475	0.1467946791
476	0.1467845704
477	0.1467754729
478	0.1467246512
479	0.14671835
480	0.1466964271
481	0.1466881618
482	0.1466619246
483	0.146642242
484	0.1466365668
485	0.1466130385
486	0.1465890782
487	0.1465518567
488	0.1465473064
489	0.1465461094
490	0.1465388384
491	0.1465221362
492	0.1465148683
493	0.1465083711
494	0.1464971812
495	0.1464919663
496	0.1464712492
497	0.1464597214
498	0.1464562351
499	0.1464533726
500	0.1464336354
501	0.1464056216
502	0.1463864371
503	0.1463463713
504	0.1463237005
505	0.146320053
506	0.1463040861
507	0.1462851588
508	0.1462715441
509	0.1462671024
510	0.1462468231
511	0.1462235124
512	0.1461901461
513	0.14616447
514	0.1461611537
515	0.1461576196
516	0.14614179
517	0.1461067914
518	0.146104368
519	0.1460808072
520	0.146062428
521	0.146021671
522	0.146012813
523	0.1459907685
524	0.145964261
525	0.1459468754
526	0.1459440532
527	0.1459315942
528	0.1459235722
529	0.1459120123
530	0.1458780437
531	0.1458597817
532	0.1458451848
533	0.1458373859
534	0.1458187901
535	0.1458153522
536	0.1457970241
537	0.145769325
538	0.145754563
539	0.1457440721
540	0.1457149862
541	0.1457146455
542	0.1457124864
543	0.1456991441
544	0.1456786789
545	0.1456587465
546	0.1456285665
547	0.1456011816
548	0.1455653051
549	0.1455339066
550	0.1455313096
551	0.145512822
552	0.1454955777
553	0.1454850311
554	0.1454707474
555	0.1454500522
556	0.1454271595
557	0.1453992642
558	0.1453834533
559	0.1453465933
560	0.1453331041
561	0.1453164797
562	0.145272464
563	0.1452698298
564	0.1452661696
565	0.1452637602
566	0.1452556562
567	0.145230004
568	0.1452276127
569	0.1452258526
570	0.1451850824
571	0.1451844634
572	0.1451389548
573	0.1451045735
574	0.1451014266
575	0.1450529761
576	0.1450382322
577	0.1450008536
578	0.1449761888
579	0.1449727737
580	0.1449489242
581	0.1449353359
582	0.1449237481
583	0.1448892603
584	0.144873958
585	0.1448630262
586	0.1448033606
587	0.1447922061
588	0.1447888181
589	0.1447401181
590	0.1447322077
591	0.1447298147
592	0.1447131868
593	0.1447077997
594	0.1447053297
595	0.1446921197
596	0.1446885296
597	0.1446811859
598	0.1446629753
599	0.1446443122
600	0.1446309161
601	0.1446285996
602	0.144617691
603	0.144589777
604	0.1445643113
605	0.1445544684
606	0.14453673
607	0.1445326972
608	0.1444845914
609	0.144459981
610	0.14444844
611	0.1444335381
612	0.1444256359
613	0.1444198935
614	0.1443939017
615	0.144384568
616	0.1443791527
617	0.1443744811
618	0.1443573684
619	0.1443367648
620	0.1443313633
621	0.1443237831
622	0.1443035567
623	0.1442711863
624	0.1442465218
625	0.1442391561
626	0.1442293751
627	0.1442272867
628	0.1441962855
629	0.144179622
630	0.1441702316
631	0.1441647425
632	0.1441460599
633	0.1441329484
634	0.1441097328
635	0.1441091495
636	0.1440992355
637	0.1440971631
638	0.1440813996
639	0.1440723094
640	0.1440591344
641	0.1440391078
642	0.1440087961
643	0.1439900956
644	0.1439650827
645	0.1439173568
646	0.1438936334
647	0.1438845037
648	0.143877521
649	0.1438593127
650	0.1438575444
651	0.1438569253
652	0.143838091
653	0.1438285353
654	0.1438012776
655	0.1437802504
656	0.1437772867
657	0.1437350495
658	0.1437299177
659	0.1437061531
660	0.1436865832
661	0.1436589902
662	0.14363828
663	0.1436321382
664	0.1436097345
665	0.1435953741
666	0.1435804589
667	0.1435517868
668	0.1435463026
669	0.1435438248
670	0.1435226403
671	0.1435033906
672	0.1434863566
673	0.1434529184
674	0.1434372412
675	0.1434302785
676	0.1434106646
677	0.143377151
678	0.1433717884
679	0.1433546121
680	0.1433316155
681	0.1433127408
682	0.1433091181
683	0.1432874715
684	0.1432627603
685	0.1432347636
686	0.1432108906
687	0.1431957376
688	0.1431714172
689	0.143163835
690	0.1431577862
691	0.1431473741
692	0.1431110794
693	0.1431089056
694	0.1430814154
695	0.1430653029
696	0.1430541443
697	0.1430384351
698	0.1430303395
699	0.1430284637
700	0.1430105455
701	0.143006964
702	0.1430022785
703	0.1429878339
704	0.1429814835
705	0.1429710016
706	0.1429639799
707	0.1429619846
708	0.1429602003
709	0.1429591268
710	0.142949614
711	0.1429311546
712	0.142876235
713	0.1428618334
714	0.1428281264
715	0.1428044899
716	0.1427730269
717	0.1427708183
718	0.1427565797
719	0.1427526053
720	0.1427311058
721	0.1427044831
722	0.1426860622
723	0.142654359
724	0.1426525158
725	0.1426020102
726	0.142593225
727	0.1425920005
728	0.1425737341
729	0.142570265
730	0.142569496
731	0.1425604474
732	0.1425587238
733	0.1425497171
734	0.1425436468
735	0.1425296204
736	0.1425183111
737	0.1425052975
738	0.142496964
739	0.1424954246
740	0.1424935216
741	0.1424866192
742	0.1424855661
743	0.1424514486
744	0.1424491345
745	0.1424299064
746	0.1424281739
747	0.142410305
748	0.1424087398
749	0.1423927068
750	0.1423857767
751	0.1423499335
752	0.1423286098
753	0.1423268178
754	0.1423019486
755	0.1422875472
756	0.1422642409
757	0.1422550207
758	0.1422494294
759	0.14223698
760	0.1422354071
761	0.1422151749
762	0.1422052224
763	0.1421865518
764	0.1421852675
765	0.1421798783
766	0.1421724848
767	0.1421544218
768	0.142131357
769	0.14211782
770	0.1421159035
771	0.1421015033
772	0.1420567147
773	0.1420407405
774	0.1420310676
775	0.1419910203
776	0.1419887716
777	0.1419713046
778	0.141951002
779	0.1419243234
780	0.1419204689
781	0.1419160909
782	0.1419154519
783	0.1418977142
784	0.1418972703
785	0.1418839786
786	0.1418701724
787	0.14186973
788	0.1418649729
789	0.1418556078
790	0.1418423771
791	0.1418117158
792	0.141801534
793	0.1417824855
794	0.1417542508
795	0.1417432811
796	0.1417244805
797	0.1417199231
798	0.141719163
799	0.1416843526
800	0.1416830143
801	0.1416817886
802	0.1416726829
803	0.1416706156
804	0.1416535936
805	0.1416524001
806	0.1416145563
807	0.1415963539
808	0.1415870255
809	0.1415858662
810	0.1415574702
811	0.1415461587
812	0.1415389337
813	0.1415103105
814	0.1414885693
815	0.1414836993
816	0.1414781229
817	0.1414391896
818	0.1414334498
819	0.1414101082
820	0.1413880662
821	0.1413555455
822	0.141352422
823	0.141301826
824	0.1412783405
825	0.1412608925
826	0.1412516922
827	0.141243806
828	0.1412290453
829	0.1412071867
830	0.141206004
831	0.1411965442
832	0.1411868393
833	0.1411808045
834	0.1411777494
835	0.1411740237
836	0.1411690372
837	0.1411678012
838	0.1411534901
839	0.1411511949
840	0.1411458702
841	0.1411439211
842	0.1411408184
843	0.1411406028
844	0.1411131756
845	0.1410800291
846	0.1410709591
847	0.1410594147
848	0.1410580887
849	0.1410489611
850	0.1410200287
851	0.1409499709
852	0.1409483587
853	0.1409297321
854	0.1409192774
855	0.1408997341
856	0.1408714231
857	0.1408498461
858	0.1408402203
859	0.1408289229
860	0.1408142515
861	0.1407898467
862	0.1407887744
863	0.1407875305
864	0.1407776377
865	0.1407613945
866	0.1407482629
867	0.1407473895
868	0.1407283559
869	0.1407081424
870	0.1406843229
871	0.1406469079
872	0.1406387225
873	0.1406226552
874	0.1406096108
875	0.1405771379
876	0.140553663
877	0.1405278893
878	0.1405150785
879	0.1404865485
880	0.1404775638
881	0.140457561
882	0.1404464415
883	0.1404369722
884	0.1404213445
885	0.1404055816
886	0.1404020291
887	0.1404015216
888	0.14038949
889	0.1403809487
890	0.1403626423
891	0.1403294069
892	0.1403115337
893	0.1402865804
894	0.1402685944
895	0.1402599143
896	0.1402531791
