iter	Passed	Remaining
0	56	56715
1	98	49127
2	123	41063
3	153	38327
4	186	37200
5	217	36096
6	253	35921
7	285	35438
8	316	34898
9	348	34537
10	379	34120
11	411	33853
12	445	33812
13	485	34201
14	520	34179
15	555	34177
16	588	34027
17	622	33937
18	651	33661
19	686	33615
20	717	33462
21	752	33469
22	783	33271
23	820	33374
24	854	33329
25	888	33288
26	916	33040
27	947	32877
28	982	32905
29	1016	32850
30	1052	32900
31	1086	32874
32	1120	32820
33	1158	32926
34	1197	33027
35	1233	33022
36	1267	32995
37	1298	32865
38	1331	32798
39	1365	32766
40	1395	32651
41	1427	32565
42	1462	32547
43	1491	32411
44	1524	32347
45	1556	32277
46	1590	32242
47	1626	32249
48	1657	32165
49	1689	32109
50	1716	31945
51	1756	32016
52	1794	32071
53	1829	32055
54	1861	31984
55	1882	31732
56	1919	31755
57	1954	31741
58	1997	31851
59	2032	31839
60	2065	31792
61	2102	31811
62	2139	31817
63	2169	31730
64	2203	31699
65	2238	31675
66	2258	31452
67	2292	31422
68	2324	31359
69	2361	31379
70	2404	31464
71	2438	31430
72	2467	31330
73	2499	31280
74	2540	31338
75	2572	31271
76	2602	31201
77	2636	31163
78	2668	31115
79	2697	31023
80	2729	30969
81	2760	30899
82	2791	30844
83	2822	30774
84	2857	30762
85	2888	30701
86	2920	30649
87	2954	30615
88	2987	30577
89	3018	30520
90	3055	30516
91	3088	30479
92	3123	30464
93	3156	30424
94	3187	30367
95	3220	30323
96	3253	30290
97	3276	30161
98	3314	30164
99	3347	30126
100	3381	30099
101	3416	30076
102	3450	30052
103	3482	30000
104	3516	29974
105	3549	29938
106	3582	29897
107	3616	29873
108	3655	29877
109	3690	29856
110	3722	29812
111	3758	29796
112	3779	29670
113	3811	29622
114	3846	29601
115	3880	29572
116	3913	29535
117	3946	29498
118	3978	29452
119	4014	29437
120	4049	29418
121	4082	29380
122	4115	29344
123	4150	29317
124	4191	29343
125	4228	29332
126	4261	29292
127	4297	29276
128	4335	29270
