feature,importance
x_11,1
x_85,1
x_16,1
x_75,2
x_86,2
x_27,2
x_33,2
x_5,2
x_150,2
x_6,2
x_87,3
x_10,3
x_144,3
x_139,4
x_73,4
x_101,4
x_3,5
x_22,5
x_74,5
x_26,5
x_9,5
x_4,6
x_77,6
x_32,7
x_90,7
x_76,8
x_155,9
x_100,9
x_98,10
x_96,12
x_65,13
x_153,14
x_49,16
x_88,16
x_39,18
x_143,18
x_82,22
x_142,22
x_91,24
x_72,24
x_141,31
x_84,31
x_46,32
x_154,33
x_66,36
x_83,39
x_68,42
x_99,42
x_58,42
x_44,45
x_41,47
x_57,47
x_38,48
x_156,50
x_60,52
x_79,55
x_30,56
x_67,56
x_13,56
x_78,57
x_59,60
x_20,60
x_29,61
x_64,61
x_56,61
x_53,62
x_47,64
x_55,65
x_45,65
x_140,68
x_8,68
x_7,68
x_35,71
x_14,72
x_97,73
x_61,75
x_51,76
x_36,76
x_93,77
x_43,80
x_63,80
x_157,89
x_24,91
x_69,92
x_50,92
x_42,93
x_52,96
x_19,96
x_62,110
x_48,110
x_40,115
x_1,165
x_54,169
x_81,180
x_95,256
x_2,292
x_80,534
